sample_name,review_priority,candidate_id,title,codex_label,codex_evidence_group,codex_confidence,codex_reason_code,claude_label,claude_evidence_group,claude_confidence,claude_reason_code,review_reasons,expert_final_label,expert_evidence_group,expert_comment
shanghai,P0,c_0024,公告]上海银行e电话建设采购项目招标公告投标人联合体政府投资项目_网易订阅,must_keep,,high,UNIQUE_TARGET_CORE_BIDDING,relevant,target_bank_ephone_tender,high,TARGET_CORE_BIDDING,MUST_KEEP_REVIEW_REQUIRED|MUST_KEEP_DISAGREEMENT|LABEL_DISAGREEMENT,,,
shanghai,P0,c_0044,上海银行多语言智能客服系统采购项目第二次磋商失败公告,must_keep,,high,UNIQUE_TARGET_CORE_BIDDING,must_keep,,high,TARGET_CORE_BIDDING,MUST_KEEP_REVIEW_REQUIRED,,,
shanghai,P0,c_0047,仓山_智能客服系统开发项目成交结果公示,relevant,evidence_05512aa6b3,medium,INDUSTRY_CORE_BIDDING,irrelevant,,medium,UNRELATED_PROCUREMENT,POSITIVE_NEGATIVE_CONFLICT|LABEL_DISAGREEMENT,,,
shanghai,P1,c_0001,客服电话系统项目直接采购公示,relevant,evidence_a11e60b3c0,medium,INDUSTRY_ADJACENT_BIDDING,uncertain,,low,INSUFFICIENT_CONTEXT,UNCERTAIN_DISAGREEMENT|LABEL_DISAGREEMENT,,,
shanghai,P1,c_0019,中国移动上海公司2014年虚拟呼叫中心平台建设项目-巨人网络通讯,uncertain,,low,CORE_SIGNAL_WITHOUT_BIDDING_PROOF,relevant,industry_virtual_callcenter_platform_case,medium,INDUSTRY_CORE_BIDDING,UNCERTAIN_DISAGREEMENT|LABEL_DISAGREEMENT,,,
shanghai,P1,c_0033,全方位金融服务与消费者反馈平台—上海银行投诉中心,uncertain,,low,CORE_SIGNAL_WITHOUT_BIDDING_PROOF,irrelevant,,medium,NON_BIDDING_CONTEXT,UNCERTAIN_DISAGREEMENT|LABEL_DISAGREEMENT,,,
shanghai,P1,c_0037,零售业务部客户服务中心需求策划岗招聘,uncertain,,low,CORE_SIGNAL_WITHOUT_BIDDING_PROOF,irrelevant,,medium,NON_BIDDING_CONTEXT,UNCERTAIN_DISAGREEMENT|LABEL_DISAGREEMENT,,,
shanghai,P1,c_0045,【银联商务2023年度智能视频客服系统升级采购项目】成交结果公告-结果公告-机电设备采购平台,relevant,evidence_f0c395ce48,medium,INDUSTRY_CORE_BIDDING,relevant,industry_video_cs_case,medium,INDUSTRY_CORE_BIDDING,GROUP_MEMBERSHIP_DISAGREEMENT,,,
shanghai,P1,c_0050,【招标结果】【银联商务2023年度智能视频客服系统升级采购项目】成交结果公告,relevant,evidence_db7e3ae323,medium,INDUSTRY_CORE_BIDDING,acceptable_alternative,industry_video_cs_case,medium,DUPLICATE_EVENT_ALTERNATIVE,LABEL_DISAGREEMENT|GROUP_MEMBERSHIP_DISAGREEMENT,,,
postal,P0,c_0030,中国邮政储蓄银行语音智能化系统大模型辅助客户服务软件开发与集成服务采购项目招标公告,must_keep,,high,UNIQUE_TARGET_CORE_BIDDING,relevant,postal_hq_voice_ai_cs_tender,high,PARENT_CORE_BIDDING,MUST_KEEP_REVIEW_REQUIRED|MUST_KEEP_DISAGREEMENT|LABEL_DISAGREEMENT,,,
postal,P0,c_0043,中国邮政储蓄银行信用卡智能客服系统2025年新增功能工程邮储大脑智能语言语音系统配套软件技术开发与集成采购项目单一来源采购前公示 - 中国邮政集团有限公司,must_keep,,high,UNIQUE_TARGET_CORE_BIDDING,relevant,postal_hq_creditcard_intelligent_cs_tender,high,PARENT_CORE_BIDDING,MUST_KEEP_REVIEW_REQUIRED|MUST_KEEP_DISAGREEMENT|LABEL_DISAGREEMENT,,,
postal,P1,c_0028,邮储银行新一代智能客服“小邮”上线,uncertain,,low,CORE_SIGNAL_WITHOUT_BIDDING_PROOF,irrelevant,,medium,NON_BIDDING_CONTEXT,UNCERTAIN_DISAGREEMENT|LABEL_DISAGREEMENT,,,
pacific,P0,c_0024,聊城市聊城市某项目采购智能客服系统采购项目竞争性谈判公告-山东招标网,relevant,evidence_a2673e0b46,medium,INDUSTRY_CORE_BIDDING,irrelevant,,medium,INSUFFICIENT_CONTEXT,POSITIVE_NEGATIVE_CONFLICT|LABEL_DISAGREEMENT|GROUP_MEMBERSHIP_DISAGREEMENT,,,
pacific,P0,c_0032,关于中国太平洋保险(集团)官网智能推荐平台业务采购方案征集公告,relevant,evidence_70d9b9c4ff,medium,TARGET_ADJACENT_BIDDING,irrelevant,,high,UNRELATED_PROCUREMENT,POSITIVE_NEGATIVE_CONFLICT|LABEL_DISAGREEMENT|GROUP_MEMBERSHIP_DISAGREEMENT,,,
pacific,P0,c_0037,中国太平洋保险(集团)股份有限公司智能排班软件采购项目方案征集公告,relevant,evidence_063306f0e7,medium,TARGET_ADJACENT_BIDDING,irrelevant,,high,UNRELATED_PROCUREMENT,POSITIVE_NEGATIVE_CONFLICT|LABEL_DISAGREEMENT|GROUP_MEMBERSHIP_DISAGREEMENT,,,
pacific,P0,c_0040,关于中国太平洋保险（集团）2018版官网智能推荐系统模型工程化高级服务采购方案征集公告,relevant,evidence_7974bc796e,medium,TARGET_ADJACENT_BIDDING,irrelevant,,high,UNRELATED_PROCUREMENT,POSITIVE_NEGATIVE_CONFLICT|LABEL_DISAGREEMENT|GROUP_MEMBERSHIP_DISAGREEMENT,,,
