sample_name,review_priority,candidate_id,title,url,codex_label,codex_evidence_group,codex_confidence,codex_reason_code,claude_label,claude_evidence_group,claude_confidence,claude_reason_code,review_reasons,expert_final_label,expert_evidence_group,expert_comment
shanghai,P0,c_0024,公告]上海银行e电话建设采购项目招标公告投标人联合体政府投资项目_网易订阅,https://www.163.com/dy/article/I30C7HSM05560ONQ.html,must_keep,,high,UNIQUE_TARGET_CORE_BIDDING,relevant,target_bank_ephone_tender,high,TARGET_CORE_BIDDING,MUST_KEEP_REVIEW_REQUIRED|MUST_KEEP_DISAGREEMENT|LABEL_DISAGREEMENT,,,
shanghai,P0,c_0044,上海银行多语言智能客服系统采购项目第二次磋商失败公告,https://sh.bidcenter.com.cn/diqucontent-386980654-6.html,must_keep,,high,UNIQUE_TARGET_CORE_BIDDING,must_keep,,high,TARGET_CORE_BIDDING,MUST_KEEP_REVIEW_REQUIRED,,,
shanghai,P0,c_0047,仓山_智能客服系统开发项目成交结果公示,https://350104.bidcenter.com.cn/bidinfo-4-a0f73512c37219a9f1030bf649c6e9e548f33e9bf691b7e9.html,relevant,evidence_05512aa6b3,medium,INDUSTRY_CORE_BIDDING,irrelevant,,medium,UNRELATED_PROCUREMENT,POSITIVE_NEGATIVE_CONFLICT|LABEL_DISAGREEMENT,,,
shanghai,P1,c_0001,客服电话系统项目直接采购公示,http://www.qianlima.com/gjxx/236503/index_24_3.html,relevant,evidence_a11e60b3c0,medium,INDUSTRY_ADJACENT_BIDDING,uncertain,,low,INSUFFICIENT_CONTEXT,UNCERTAIN_DISAGREEMENT|LABEL_DISAGREEMENT,,,
shanghai,P1,c_0019,中国移动上海公司2014年虚拟呼叫中心平台建设项目-巨人网络通讯,http://www.1330.cn/zhishi/1812366.html,uncertain,,low,CORE_SIGNAL_WITHOUT_BIDDING_PROOF,relevant,industry_virtual_callcenter_platform_case,medium,INDUSTRY_CORE_BIDDING,UNCERTAIN_DISAGREEMENT|LABEL_DISAGREEMENT,,,
shanghai,P1,c_0033,全方位金融服务与消费者反馈平台—上海银行投诉中心,https://www.hezegd.com/lawnews/zixun/1002678.html,uncertain,,low,CORE_SIGNAL_WITHOUT_BIDDING_PROOF,irrelevant,,medium,NON_BIDDING_CONTEXT,UNCERTAIN_DISAGREEMENT|LABEL_DISAGREEMENT,,,
shanghai,P1,c_0037,零售业务部客户服务中心需求策划岗招聘,https://www.wondercv.com/jobs/5O085eA.html,uncertain,,low,CORE_SIGNAL_WITHOUT_BIDDING_PROOF,irrelevant,,medium,NON_BIDDING_CONTEXT,UNCERTAIN_DISAGREEMENT|LABEL_DISAGREEMENT,,,
shanghai,P1,c_0045,【银联商务2023年度智能视频客服系统升级采购项目】成交结果公告-结果公告-机电设备采购平台,https://www.chinamae.com/purchases/8d77ef0b1f7cdf616a582d282c4a8180,relevant,evidence_f0c395ce48,medium,INDUSTRY_CORE_BIDDING,relevant,industry_video_cs_case,medium,INDUSTRY_CORE_BIDDING,GROUP_MEMBERSHIP_DISAGREEMENT,,,
shanghai,P1,c_0050,【招标结果】【银联商务2023年度智能视频客服系统升级采购项目】成交结果公告,https://shanghai.jianyu360.cn/jybx/20231220_2312192479998.html,relevant,evidence_db7e3ae323,medium,INDUSTRY_CORE_BIDDING,acceptable_alternative,industry_video_cs_case,medium,DUPLICATE_EVENT_ALTERNATIVE,LABEL_DISAGREEMENT|GROUP_MEMBERSHIP_DISAGREEMENT,,,
postal,P0,c_0030,中国邮政储蓄银行语音智能化系统大模型辅助客户服务软件开发与集成服务采购项目招标公告,https://www.ebnew.com/businessShow/695467221.html,must_keep,,high,UNIQUE_TARGET_CORE_BIDDING,relevant,postal_hq_voice_ai_cs_tender,high,PARENT_CORE_BIDDING,MUST_KEEP_REVIEW_REQUIRED|MUST_KEEP_DISAGREEMENT|LABEL_DISAGREEMENT,,,
